Transition(state=array([-0.5513977]), action=1, next_state=array([-0.38281483]), reward=-0.38281482779787934)
Transition(state=array([ 0.05081918]), action=0, next_state=array([-0.02505314]), reward=-0.025053143473237005)
Transition(state=array([-0.02505314]), action=0, next_state=array([-0.05100437]), reward=-0.05100436782756798)
Transition(state=array([-0.05100437]), action=0, next_state=array([-0.0661864]), reward=-0.06618639786559068)
Transition(state=array([-0.0661864]), action=0, next_state=array([ 0.02469272]), reward=-0.024692717095253613)
Transition(state=array([ 0.02469272]), action=0, next_state=array([ 0.06572976]), reward=-0.06572975901441763)
Transition(state=array([ 0.06572976]), action=0, next_state=array([ 0.10711691]), reward=-0.10711691099734386)
Transition(state=array([ 0.10711691]), action=2, next_state=array([-0.01537254]), reward=-0.015372540671690929)
Transition(state=array([-0.01537254]), action=0, next_state=array([ 0.07042523]), reward=-0.07042523186381563)
Transition(state=array([ 0.07042523]), action=0, next_state=array([-0.01607237]), reward=-0.016072370430689667)
Transition(state=array([-0.01607237]), action=0, next_state=array([ 0.04049044]), reward=-0.040490443670022934)
Transition(state=array([ 0.04049044]), action=0, next_state=array([ 0.04432233]), reward=-0.044322332097842254)
Transition(state=array([ 0.04432233]), action=0, next_state=array([ 0.02377851]), reward=-0.023778508124240594)
Transition(state=array([ 0.02377851]), action=0, next_state=array([ 0.10538195]), reward=-0.10538194801068924)
Transition(state=array([ 0.10538195]), action=2, next_state=array([ 0.01059656]), reward=-0.01059656264396927)
Transition(state=array([ 0.01059656]), action=0, next_state=array([ 0.00934984]), reward=-0.00934984073125052)
Transition(state=array([ 0.00934984]), action=0, next_state=array([-0.06498624]), reward=-0.06498624149878465)
Transition(state=array([-0.06498624]), action=0, next_state=array([-0.16327316]), reward=-0.16327315811355983)
Transition(state=array([-0.16327316]), action=1, next_state=array([-0.09451485]), reward=-0.09451485198728932)
Transition(state=array([-0.09451485]), action=0, next_state=array([-0.03575579]), reward=-0.03575579338833404)
Transition(state=array([-0.03575579]), action=0, next_state=array([-0.03695036]), reward=-0.03695035570060828)
Transition(state=array([-0.03695036]), action=0, next_state=array([-0.12255621]), reward=-0.12255621427708005)
Transition(state=array([-0.12255621]), action=1, next_state=array([ 0.05753822]), reward=-0.057538224167064084)
Transition(state=array([ 0.05753822]), action=0, next_state=array([ 0.080239]), reward=-0.08023900019293678)
Transition(state=array([ 0.080239]), action=0, next_state=array([ 0.07017555]), reward=-0.07017555148493221)
Transition(state=array([ 0.07017555]), action=0, next_state=array([ 0.0738656]), reward=-0.07386559981645427)
Transition(state=array([ 0.0738656]), action=0, next_state=array([ 0.08404758]), reward=-0.0840475849344599)
Transition(state=array([ 0.08404758]), action=0, next_state=array([-0.00057995]), reward=-0.0005799507704579709)
Transition(state=array([-0.00057995]), action=0, next_state=array([-0.06736893]), reward=-0.06736892869921782)
Transition(state=array([-0.06736893]), action=0, next_state=array([-0.07802224]), reward=-0.0780222428619094)
Transition(state=array([-0.07802224]), action=0, next_state=array([-0.11941139]), reward=-0.11941139112315555)
Transition(state=array([-0.11941139]), action=1, next_state=array([-0.07382493]), reward=-0.07382493477646504)
Transition(state=array([-0.07382493]), action=0, next_state=array([-0.10448662]), reward=-0.10448661750006255)
Transition(state=array([-0.10448662]), action=1, next_state=array([ 0.06733168]), reward=-0.0673316789239143)
Transition(state=array([ 0.06733168]), action=0, next_state=array([ 0.02700046]), reward=-0.02700046362863364)
Transition(state=array([ 0.02700046]), action=0, next_state=array([ 0.02526062]), reward=-0.025260619421523155)
Transition(state=array([ 0.02526062]), action=0, next_state=array([ 0.00095397]), reward=-0.0009539679443684584)
Transition(state=array([ 0.00095397]), action=0, next_state=array([ 0.05275158]), reward=-0.05275158335657992)
Transition(state=array([ 0.05275158]), action=0, next_state=array([ 0.03065113]), reward=-0.030651125318997052)
Transition(state=array([ 0.03065113]), action=0, next_state=array([-0.05234447]), reward=-0.052344470145940514)
Transition(state=array([-0.05234447]), action=0, next_state=array([ 0.02284238]), reward=-0.022842375683935226)
Transition(state=array([ 0.02284238]), action=0, next_state=array([-0.04923726]), reward=-0.04923725691310707)
Transition(state=array([-0.04923726]), action=0, next_state=array([ 0.01968661]), reward=-0.019686605601293858)
Transition(state=array([ 0.01968661]), action=0, next_state=array([-0.01206035]), reward=-0.012060354407848424)
Transition(state=array([-0.01206035]), action=0, next_state=array([-0.08234051]), reward=-0.08234051206626339)
Transition(state=array([-0.08234051]), action=0, next_state=array([-0.04161909]), reward=-0.041619090019746355)
Transition(state=array([-0.04161909]), action=0, next_state=array([ 0.01661532]), reward=-0.01661531570543031)
Transition(state=array([ 0.01661532]), action=0, next_state=array([-0.07355445]), reward=-0.07355445029849192)
Transition(state=array([-0.07355445]), action=0, next_state=array([-0.13254968]), reward=-0.1325496848111633)
Transition(state=array([-0.13254968]), action=1, next_state=array([ 0.01336397]), reward=-0.013363970933703867)
Transition(state=array([ 0.01336397]), action=0, next_state=array([-0.03363318]), reward=-0.033633182310235626)
Transition(state=array([-0.03363318]), action=0, next_state=array([ 0.01823014]), reward=-0.018230138449598775)
Transition(state=array([ 0.01823014]), action=0, next_state=array([ 0.0414717]), reward=-0.04147170080211804)
Transition(state=array([ 0.0414717]), action=0, next_state=array([ 0.00749651]), reward=-0.007496508530033585)
Transition(state=array([ 0.00749651]), action=0, next_state=array([ 0.01039102]), reward=-0.010391015966003914)
Transition(state=array([ 0.01039102]), action=0, next_state=array([ 0.03876126]), reward=-0.03876125834971358)
Transition(state=array([ 0.03876126]), action=0, next_state=array([ 0.10298028]), reward=-0.1029802788360179)
Transition(state=array([ 0.10298028]), action=2, next_state=array([ 0.04316972]), reward=-0.043169716373956085)
Transition(state=array([ 0.04316972]), action=0, next_state=array([-0.02464333]), reward=-0.024643328081167135)
Transition(state=array([-0.02464333]), action=0, next_state=array([ 0.02640715]), reward=-0.026407154799903125)
Transition(state=array([ 0.02640715]), action=0, next_state=array([ 0.06314503]), reward=-0.06314502521245952)
Transition(state=array([ 0.06314503]), action=0, next_state=array([ 0.04976903]), reward=-0.04976903145107577)
Transition(state=array([ 0.04976903]), action=0, next_state=array([ 0.14004652]), reward=-0.1400465219343958)
Transition(state=array([ 0.14004652]), action=2, next_state=array([-0.03884734]), reward=-0.03884733913722038)
Transition(state=array([-0.03884734]), action=0, next_state=array([ 0.03157144]), reward=-0.0315714381040354)
Transition(state=array([ 0.03157144]), action=0, next_state=array([ 0.09849258]), reward=-0.0984925770271201)
Transition(state=array([ 0.09849258]), action=0, next_state=array([ 0.01880105]), reward=-0.018801050935297603)
Transition(state=array([ 0.01880105]), action=0, next_state=array([ 0.03370318]), reward=-0.03370317985622846)
Transition(state=array([ 0.03370318]), action=0, next_state=array([-0.06249759]), reward=-0.062497587408484476)
Transition(state=array([-0.06249759]), action=0, next_state=array([-0.11561516]), reward=-0.11561515781278937)
Transition(state=array([-0.11561516]), action=1, next_state=array([ 0.07524419]), reward=-0.07524419294615466)
Transition(state=array([ 0.07524419]), action=0, next_state=array([-0.00224333]), reward=-0.002243329639845665)
Transition(state=array([-0.00224333]), action=0, next_state=array([ 0.02694986]), reward=-0.026949862292922795)
Transition(state=array([ 0.02694986]), action=0, next_state=array([-0.01543493]), reward=-0.015434928758640061)
Transition(state=array([-0.01543493]), action=0, next_state=array([ 0.0471015]), reward=-0.04710150261708452)
Transition(state=array([ 0.0471015]), action=0, next_state=array([-0.02165454]), reward=-0.021654535241318378)
Transition(state=array([-0.02165454]), action=0, next_state=array([-0.00801497]), reward=-0.008014973271413144)
Transition(state=array([-0.00801497]), action=0, next_state=array([ 0.06346942]), reward=-0.06346942394398075)
Transition(state=array([ 0.06346942]), action=0, next_state=array([ 0.09961296]), reward=-0.09961295659253569)
Transition(state=array([ 0.09961296]), action=0, next_state=array([ 0.11686953]), reward=-0.11686952802114703)
Transition(state=array([ 0.11686953]), action=2, next_state=array([-0.07766378]), reward=-0.07766377844370806)
Transition(state=array([-0.07766378]), action=0, next_state=array([-0.124446]), reward=-0.12444600352421034)
Transition(state=array([-0.124446]), action=1, next_state=array([-0.09764608]), reward=-0.09764608482950043)
Transition(state=array([-0.09764608]), action=0, next_state=array([-0.18553267]), reward=-0.18553267428952513)
Transition(state=array([-0.18553267]), action=1, next_state=array([ 0.01344602]), reward=-0.013446020790977425)
Transition(state=array([ 0.01344602]), action=0, next_state=array([-0.06248851]), reward=-0.06248850679386167)
Transition(state=array([-0.06248851]), action=0, next_state=array([-0.12616876]), reward=-0.12616876037935998)
Transition(state=array([-0.12616876]), action=1, next_state=array([ 0.01875287]), reward=-0.018752873723636973)
Transition(state=array([ 0.01875287]), action=0, next_state=array([-0.08019355]), reward=-0.0801935518233416)
Transition(state=array([-0.08019355]), action=0, next_state=array([-0.16528745]), reward=-0.1652874549793784)
Transition(state=array([-0.16528745]), action=1, next_state=array([-0.0402042]), reward=-0.040204196298093686)
Transition(state=array([-0.0402042]), action=0, next_state=array([ 0.04946063]), reward=-0.04946062864822948)
Transition(state=array([ 0.04946063]), action=0, next_state=array([ 0.07428639]), reward=-0.07428639314325126)
Transition(state=array([ 0.07428639]), action=0, next_state=array([-0.02202276]), reward=-0.022022764664250558)
Transition(state=array([-0.02202276]), action=0, next_state=array([-0.02897993]), reward=-0.028979931473295237)
Transition(state=array([-0.02897993]), action=0, next_state=array([-0.01420945]), reward=-0.014209451139702785)
Transition(state=array([-0.01420945]), action=0, next_state=array([ 0.05330297]), reward=-0.05330297264231075)
Transition(state=array([ 0.05330297]), action=0, next_state=array([-0.02661562]), reward=-0.026615621812610055)
Transition(state=array([-0.02661562]), action=0, next_state=array([ 0.04481076]), reward=-0.04481076151766915)
Transition(state=array([ 0.04481076]), action=0, next_state=array([-0.02896457]), reward=-0.028964571655228116)
Transition(state=array([-0.02896457]), action=0, next_state=array([ 0.03592155]), reward=-0.03592154767459564)
Transition(state=array([ 0.03592155]), action=0, next_state=array([-0.03436355]), reward=-0.03436355154006725)
Transition(state=array([-0.03436355]), action=0, next_state=array([-0.12648515]), reward=-0.12648515315972614)
Transition(state=array([-0.12648515]), action=1, next_state=array([-0.02800614]), reward=-0.028006139526911528)
Transition(state=array([-0.02800614]), action=0, next_state=array([-0.03403198]), reward=-0.03403197633641903)
Transition(state=array([-0.03403198]), action=0, next_state=array([-0.11482626]), reward=-0.11482626007345995)
Transition(state=array([-0.11482626]), action=1, next_state=array([-0.02881917]), reward=-0.028819165114120388)
Transition(state=array([-0.02881917]), action=0, next_state=array([-0.0163644]), reward=-0.01636440246394652)
Transition(state=array([-0.0163644]), action=0, next_state=array([-0.07629631]), reward=-0.07629630604728141)
Transition(state=array([-0.07629631]), action=0, next_state=array([-0.00083289]), reward=-0.000832892047884698)
Transition(state=array([-0.00083289]), action=0, next_state=array([ 0.04705617]), reward=-0.047056165983789)
Transition(state=array([ 0.04705617]), action=0, next_state=array([ 0.07625744]), reward=-0.07625743698544517)
Transition(state=array([ 0.07625744]), action=0, next_state=array([-0.01373908]), reward=-0.013739078235268834)
Transition(state=array([-0.01373908]), action=0, next_state=array([-0.08844573]), reward=-0.08844572961372488)
Transition(state=array([-0.08844573]), action=0, next_state=array([-0.07187678]), reward=-0.0718767844426983)
Transition(state=array([-0.07187678]), action=0, next_state=array([-0.0831934]), reward=-0.0831933998815261)
Transition(state=array([-0.0831934]), action=0, next_state=array([-0.053416]), reward=-0.05341600485664173)
Transition(state=array([-0.053416]), action=0, next_state=array([-0.09830088]), reward=-0.09830087653733713)
Transition(state=array([-0.09830088]), action=0, next_state=array([-0.16505531]), reward=-0.1650553115663007)
Transition(state=array([-0.16505531]), action=1, next_state=array([-0.13581095]), reward=-0.13581094894163684)
Transition(state=array([-0.13581095]), action=1, next_state=array([-0.10829992]), reward=-0.10829991833372435)
Transition(state=array([-0.10829992]), action=1, next_state=array([-0.10329561]), reward=-0.10329560991950335)
Transition(state=array([-0.10329561]), action=1, next_state=array([-0.05053405]), reward=-0.05053404576872786)
Transition(state=array([-0.05053405]), action=0, next_state=array([ 0.0179311]), reward=-0.01793109594515932)
Transition(state=array([ 0.0179311]), action=0, next_state=array([-0.02563188]), reward=-0.025631875495409503)
Transition(state=array([-0.02563188]), action=0, next_state=array([-0.05075263]), reward=-0.05075263422728273)
Transition(state=array([-0.05075263]), action=0, next_state=array([-0.06928393]), reward=-0.06928392661133967)
Transition(state=array([-0.06928393]), action=0, next_state=array([-0.13643976]), reward=-0.13643975674354514)
Transition(state=array([-0.13643976]), action=1, next_state=array([ 0.01573434]), reward=-0.01573433592383039)
Transition(state=array([ 0.01573434]), action=0, next_state=array([ 0.04624288]), reward=-0.04624287799261548)
Transition(state=array([ 0.04624288]), action=0, next_state=array([ 0.10188033]), reward=-0.10188032909824477)
Transition(state=array([ 0.10188033]), action=2, next_state=array([ 0.09718607]), reward=-0.09718606972577454)
Transition(state=array([ 0.09718607]), action=0, next_state=array([ 0.10090078]), reward=-0.10090077765836472)
Transition(state=array([ 0.10090078]), action=2, next_state=array([ 0.04291124]), reward=-0.04291123860129531)
Transition(state=array([ 0.04291124]), action=0, next_state=array([ 0.07924858]), reward=-0.0792485784021166)
Transition(state=array([ 0.07924858]), action=0, next_state=array([-0.00996554]), reward=-0.009965539360037287)
Transition(state=array([-0.00996554]), action=0, next_state=array([-0.01059395]), reward=-0.010593950845880027)
Transition(state=array([-0.01059395]), action=0, next_state=array([ 0.0091103]), reward=-0.009110295325369791)
Transition(state=array([ 0.0091103]), action=0, next_state=array([-0.02573767]), reward=-0.025737672403440368)
Transition(state=array([-0.02573767]), action=0, next_state=array([-0.06139188]), reward=-0.06139187638543254)
Transition(state=array([-0.06139188]), action=0, next_state=array([-0.07161402]), reward=-0.07161402489460372)
Transition(state=array([-0.19416768]), action=1, next_state=array([-0.03041258]), reward=-0.030412578695650477)
Transition(state=array([-0.03041258]), action=0, next_state=array([-0.03562919]), reward=-0.035629188592362124)
Transition(state=array([-0.03562919]), action=0, next_state=array([-0.11357286]), reward=-0.11357285992284075)
Transition(state=array([-0.11357286]), action=1, next_state=array([-0.09349295]), reward=-0.09349294997624102)
Transition(state=array([-0.09349295]), action=0, next_state=array([-0.07714388]), reward=-0.07714388055556964)
Transition(state=array([-0.07714388]), action=0, next_state=array([-0.03981416]), reward=-0.03981415511179693)
Transition(state=array([-0.03981416]), action=0, next_state=array([-0.09616124]), reward=-0.0961612394045861)
Transition(state=array([-0.09616124]), action=0, next_state=array([-0.13221644]), reward=-0.1322164442219163)
Transition(state=array([-0.13221644]), action=1, next_state=array([ 0.04825947]), reward=-0.048259471179306984)
Transition(state=array([ 0.04825947]), action=0, next_state=array([ 0.01719847]), reward=-0.017198466463418053)
Transition(state=array([ 0.01719847]), action=0, next_state=array([ 0.06300239]), reward=-0.0630023872109095)
Transition(state=array([ 0.06300239]), action=0, next_state=array([ 0.02894398]), reward=-0.02894398095834666)
Transition(state=array([ 0.02894398]), action=0, next_state=array([-0.03985123]), reward=-0.039851234872986044)
Transition(state=array([-0.03985123]), action=0, next_state=array([-0.12697017]), reward=-0.12697016554521584)
Transition(state=array([-0.12697017]), action=1, next_state=array([-0.11381778]), reward=-0.1138177770790463)
Transition(state=array([-0.11381778]), action=1, next_state=array([ 0.05178953]), reward=-0.05178953062706833)
Transition(state=array([ 0.05178953]), action=0, next_state=array([ 0.05319573]), reward=-0.053195734937594996)
Transition(state=array([ 0.05319573]), action=0, next_state=array([ 0.05140786]), reward=-0.051407856346969025)
Transition(state=array([ 0.05140786]), action=0, next_state=array([ 0.04468578]), reward=-0.04468577726782885)
Transition(state=array([ 0.04468578]), action=0, next_state=array([ 0.12802963]), reward=-0.12802962942292462)
Transition(state=array([ 0.12802963]), action=2, next_state=array([ 0.04871931]), reward=-0.04871930614436332)
Transition(state=array([ 0.04871931]), action=0, next_state=array([-0.01129471]), reward=-0.011294707485686853)
Transition(state=array([-0.01129471]), action=0, next_state=array([-0.02551313]), reward=-0.025513130127821318)
Transition(state=array([-0.02551313]), action=0, next_state=array([-0.08557246]), reward=-0.08557245948397346)
Transition(state=array([-0.08557246]), action=0, next_state=array([-0.08301281]), reward=-0.08301281039679977)
Transition(state=array([-0.08301281]), action=0, next_state=array([ 0.00681136]), reward=-0.0068113592527638545)
Transition(state=array([ 0.00681136]), action=0, next_state=array([-0.05903949]), reward=-0.0590394876959785)
Transition(state=array([-0.05903949]), action=0, next_state=array([-0.10650433]), reward=-0.10650433231411857)
Transition(state=array([-0.10650433]), action=1, next_state=array([-0.10078686]), reward=-0.10078685614916763)
Transition(state=array([-0.10078686]), action=1, next_state=array([-0.01930983]), reward=-0.019309831074775727)
Transition(state=array([-0.01930983]), action=0, next_state=array([ 0.0346382]), reward=-0.034638201248117124)
Transition(state=array([ 0.0346382]), action=0, next_state=array([-0.02833]), reward=-0.028330002741137388)
Transition(state=array([-0.02833]), action=0, next_state=array([-0.07280002]), reward=-0.07280002349908005)
Transition(state=array([-0.07280002]), action=0, next_state=array([-0.05388415]), reward=-0.05388414738779791)
Transition(state=array([-0.05388415]), action=0, next_state=array([-0.04625376]), reward=-0.04625375760955611)
Transition(state=array([-0.04625376]), action=0, next_state=array([-0.12702057]), reward=-0.1270205747205512)
Transition(state=array([-0.12702057]), action=1, next_state=array([ 0.0712216]), reward=-0.07122159682465418)
Transition(state=array([ 0.0712216]), action=0, next_state=array([-0.02527821]), reward=-0.025278209435263793)
Transition(state=array([-0.02527821]), action=0, next_state=array([-0.09448312]), reward=-0.09448312121298937)
Transition(state=array([-0.09448312]), action=0, next_state=array([-0.02307874]), reward=-0.023078737587461345)
Transition(state=array([-0.02307874]), action=0, next_state=array([ 0.0192508]), reward=-0.019250804719006476)
Transition(state=array([ 0.0192508]), action=0, next_state=array([-0.0102819]), reward=-0.010281904567698608)
Transition(state=array([-0.0102819]), action=0, next_state=array([ 0.02358255]), reward=-0.023582549983851443)
Transition(state=array([ 0.02358255]), action=0, next_state=array([ 0.05995181]), reward=-0.05995181094604078)
Transition(state=array([ 0.05995181]), action=0, next_state=array([ 0.1367995]), reward=-0.13679949591621332)
Transition(state=array([ 0.1367995]), action=2, next_state=array([ 0.10938287]), reward=-0.10938286749536305)
Transition(state=array([ 0.10938287]), action=2, next_state=array([-0.01407909]), reward=-0.014079090296261004)
Transition(state=array([-0.01407909]), action=0, next_state=array([ 0.06981046]), reward=-0.06981045666479073)
Transition(state=array([ 0.06981046]), action=0, next_state=array([ 0.01889612]), reward=-0.01889611734583009)
Transition(state=array([ 0.01889612]), action=0, next_state=array([ 0.03703699]), reward=-0.03703698928947074)
Transition(state=array([ 0.03703699]), action=0, next_state=array([-0.0492548]), reward=-0.04925480108584072)
Transition(state=array([-0.0492548]), action=0, next_state=array([ 0.00973554]), reward=-0.009735541993527254)
Transition(state=array([ 0.00973554]), action=0, next_state=array([-0.01071727]), reward=-0.010717271021382747)
Transition(state=array([-0.01071727]), action=0, next_state=array([ 0.03367517]), reward=-0.03367516610998027)
Transition(state=array([ 0.03367517]), action=0, next_state=array([ 0.08214131]), reward=-0.08214130904946113)
Transition(state=array([ 0.08214131]), action=0, next_state=array([ 0.03801682]), reward=-0.03801681975528072)
Transition(state=array([ 0.03801682]), action=0, next_state=array([-0.04952132]), reward=-0.049521319948956866)
Transition(state=array([-0.04952132]), action=0, next_state=array([-0.08979053]), reward=-0.08979052742125407)
Transition(state=array([-0.08979053]), action=0, next_state=array([-0.14745521]), reward=-0.14745520945320514)
Transition(state=array([-0.14745521]), action=1, next_state=array([-0.03383864]), reward=-0.03383864234596842)
Transition(state=array([-0.03383864]), action=0, next_state=array([-0.01603588]), reward=-0.016035884541415375)
Transition(state=array([-0.01603588]), action=0, next_state=array([-0.0428879]), reward=-0.04288790374637985)
Transition(state=array([-0.0428879]), action=0, next_state=array([ 0.01513869]), reward=-0.015138693171685126)
Transition(state=array([ 0.01513869]), action=0, next_state=array([ 0.03078219]), reward=-0.03078218659556833)
Transition(state=array([ 0.03078219]), action=0, next_state=array([-0.02093786]), reward=-0.020937858355573383)
Transition(state=array([-0.02093786]), action=0, next_state=array([-0.11630399]), reward=-0.11630399072361877)
Transition(state=array([-0.11630399]), action=1, next_state=array([ 0.0835844]), reward=-0.08358440356292587)
Transition(state=array([ 0.0835844]), action=0, next_state=array([ 0.14731838]), reward=-0.1473183844488263)
Transition(state=array([ 0.14731838]), action=2, next_state=array([-0.01058554]), reward=-0.010585537951401047)
Transition(state=array([-0.01058554]), action=0, next_state=array([ 0.07000987]), reward=-0.07000986981416107)
Transition(state=array([ 0.07000987]), action=0, next_state=array([ 0.16132867]), reward=-0.1613286707611022)
Transition(state=array([ 0.16132867]), action=2, next_state=array([ 0.04693348]), reward=-0.046933483082520294)
Transition(state=array([ 0.04693348]), action=0, next_state=array([ 0.0560561]), reward=-0.0560560956495449)
Transition(state=array([ 0.0560561]), action=0, next_state=array([ 0.1409148]), reward=-0.14091479587904318)
Transition(state=array([ 0.1409148]), action=2, next_state=array([ 0.07951175]), reward=-0.07951174948952133)
Transition(state=array([ 0.07951175]), action=0, next_state=array([ 0.02293291]), reward=-0.0229329119659116)
Transition(state=array([ 0.02293291]), action=0, next_state=array([ 0.10764841]), reward=-0.10764840904974715)
Transition(state=array([ 0.10764841]), action=2, next_state=array([-0.08424501]), reward=-0.08424501292920777)
Transition(state=array([-0.08424501]), action=0, next_state=array([-0.03396171]), reward=-0.03396170673903645)
Transition(state=array([-0.03396171]), action=0, next_state=array([-0.0288473]), reward=-0.02884729591135469)
Transition(state=array([-0.0288473]), action=0, next_state=array([-0.12360839]), reward=-0.123608386844711)
Transition(state=array([-0.12360839]), action=1, next_state=array([-0.07408323]), reward=-0.07408322941216064)
Transition(state=array([-0.07408323]), action=0, next_state=array([-0.10470286]), reward=-0.10470286054196509)
Transition(state=array([-0.10470286]), action=1, next_state=array([-0.07257314]), reward=-0.07257313621503472)
