Transition(state=array([ 0.14800801, -0.50084984]), action=3, next_state=array([-0.01572656, -0.55180145]), reward=-0.5518014543660551)
Transition(state=array([ 0.37358663, -0.0919445 ]), action=2, next_state=array([ 0.14249092, -0.28449943]), reward=-0.2844994314222389)
Transition(state=array([ 0.14249092, -0.28449943]), action=3, next_state=array([ 0.23445008, -0.35585109]), reward=-0.35585108583278513)
Transition(state=array([ 0.23445008, -0.35585109]), action=3, next_state=array([ 0.42218418, -0.1167354 ]), reward=-0.42218417923277884)
Transition(state=array([ 0.42218418, -0.1167354 ]), action=2, next_state=array([ 0.14997339, -0.18692705]), reward=-0.18692705136388987)
Transition(state=array([ 0.14997339, -0.18692705]), action=3, next_state=array([ 0.16223364, -0.26277718]), reward=-0.262777180641542)
Transition(state=array([ 0.16223364, -0.26277718]), action=3, next_state=array([-0.02071103, -0.08603566]), reward=-0.08603565988440856)
Transition(state=array([-0.02071103, -0.08603566]), action=1, next_state=array([-0.01535943, -0.01483579]), reward=-0.015359429433509014)
Transition(state=array([-0.01535943, -0.01483579]), action=1, next_state=array([ 0.23764103, -0.08071698]), reward=-0.23764103014938956)
Transition(state=array([ 0.23764103, -0.08071698]), action=2, next_state=array([0.30419275, 0.00537211]), reward=-0.3041927515451899)
Transition(state=array([0.30419275, 0.00537211]), action=2, next_state=array([ 0.25015755, -0.01511027]), reward=-0.2501575467326256)
Transition(state=array([ 0.25015755, -0.01511027]), action=2, next_state=array([0.31951552, 0.16992937]), reward=-0.3195155159207065)
Transition(state=array([0.31951552, 0.16992937]), action=2, next_state=array([0.30931096, 0.33099133]), reward=-0.3309913272294691)
Transition(state=array([0.30931096, 0.33099133]), action=4, next_state=array([0.26538317, 0.11586485]), reward=-0.26538317285028)
Transition(state=array([0.26538317, 0.11586485]), action=2, next_state=array([0.11155378, 0.17529985]), reward=-0.17529984705007418)
Transition(state=array([0.11155378, 0.17529985]), action=4, next_state=array([ 0.278281  , -0.01016774]), reward=-0.27828100115053134)
Transition(state=array([ 0.278281  , -0.01016774]), action=2, next_state=array([-0.00254109, -0.16182061]), reward=-0.16182061305510367)
Transition(state=array([-0.00254109, -0.16182061]), action=1, next_state=array([ 0.2283828 , -0.32005382]), reward=-0.32005382312924624)
Transition(state=array([ 0.2283828 , -0.32005382]), action=3, next_state=array([ 0.37580472, -0.12978176]), reward=-0.3758047208345979)
Transition(state=array([ 0.37580472, -0.12978176]), action=2, next_state=array([ 0.14894585, -0.18529588]), reward=-0.18529587938714911)
Transition(state=array([ 0.14894585, -0.18529588]), action=3, next_state=array([0.0752517 , 0.01407196]), reward=-0.07525170173605068)
Transition(state=array([0.0752517 , 0.01407196]), action=0, next_state=array([ 0.05310096, -0.13923247]), reward=-0.1392324748878685)
Transition(state=array([ 0.05310096, -0.13923247]), action=3, next_state=array([ 0.00473545, -0.05883889]), reward=-0.05883889292526004)
Transition(state=array([ 0.00473545, -0.05883889]), action=1, next_state=array([ 0.15799789, -0.01152068]), reward=-0.1579978870696656)
Transition(state=array([ 0.15799789, -0.01152068]), action=2, next_state=array([0.19749845, 0.05857679]), reward=-0.19749844528812568)
Transition(state=array([0.19749845, 0.05857679]), action=2, next_state=array([ 0.13292042, -0.04770208]), reward=-0.13292041803076068)
Transition(state=array([ 0.13292042, -0.04770208]), action=2, next_state=array([-0.07047604, -0.12397749]), reward=-0.12397748944430514)
Transition(state=array([-0.07047604, -0.12397749]), action=1, next_state=array([ 0.16773554, -0.10452291]), reward=-0.1677355417175895)
Transition(state=array([ 0.16773554, -0.10452291]), action=2, next_state=array([-0.00948129, -0.07633076]), reward=-0.07633075614166668)
Transition(state=array([-0.00948129, -0.07633076]), action=1, next_state=array([-0.00805712,  0.11554635]), reward=-0.11554634549677681)
Transition(state=array([-0.00805712,  0.11554635]), action=4, next_state=array([0.01834478, 0.03519838]), reward=-0.03519838331676356)
Transition(state=array([0.01834478, 0.03519838]), action=1, next_state=array([-0.05622827, -0.14491312]), reward=-0.14491312191127106)
Transition(state=array([-0.05622827, -0.14491312]), action=1, next_state=array([ 0.06679952, -0.1830875 ]), reward=-0.18308750320208117)
Transition(state=array([ 0.06679952, -0.1830875 ]), action=3, next_state=array([ 0.1177964 , -0.11772675]), reward=-0.11779639956972393)
Transition(state=array([ 0.1177964 , -0.11772675]), action=3, next_state=array([ 0.05109818, -0.00392784]), reward=-0.051098182276360565)
Transition(state=array([ 0.05109818, -0.00392784]), action=0, next_state=array([-0.14192802, -0.1518328 ]), reward=-0.1518327993331296)
Transition(state=array([-0.14192802, -0.1518328 ]), action=1, next_state=array([-0.17498567, -0.15678022]), reward=-0.1749856660822193)
Transition(state=array([-0.17498567, -0.15678022]), action=1, next_state=array([-0.08716007, -0.17969101]), reward=-0.1796910075622064)
Transition(state=array([-0.08716007, -0.17969101]), action=1, next_state=array([ 0.18178393, -0.35569412]), reward=-0.35569412335466805)
Transition(state=array([ 0.18178393, -0.35569412]), action=3, next_state=array([ 0.01961219, -0.41942811]), reward=-0.4194281130161214)
Transition(state=array([ 0.01961219, -0.41942811]), action=3, next_state=array([ 0.11920511, -0.2973755 ]), reward=-0.2973754994551516)
Transition(state=array([ 0.11920511, -0.2973755 ]), action=3, next_state=array([-0.01019676, -0.02999361]), reward=-0.029993614715289663)
Transition(state=array([-0.01019676, -0.02999361]), action=1, next_state=array([0.14908151, 0.03787378]), reward=-0.14908150833029266)
Transition(state=array([0.14908151, 0.03787378]), action=2, next_state=array([0.09474964, 0.02543025]), reward=-0.09474963877604184)
Transition(state=array([0.09474964, 0.02543025]), action=0, next_state=array([ 0.28160267, -0.06937883]), reward=-0.2816026665488595)
Transition(state=array([ 0.28160267, -0.06937883]), action=2, next_state=array([0.36741705, 0.00873058]), reward=-0.3674170474253947)
Transition(state=array([0.36741705, 0.00873058]), action=2, next_state=array([0.2304551 , 0.04127004]), reward=-0.23045510282901874)
Transition(state=array([0.2304551 , 0.04127004]), action=2, next_state=array([0.31877047, 0.04927775]), reward=-0.3187704665348877)
Transition(state=array([0.31877047, 0.04927775]), action=2, next_state=array([ 0.06535942, -0.1241083 ]), reward=-0.12410829756240407)
Transition(state=array([ 0.06535942, -0.1241083 ]), action=3, next_state=array([ 0.0887132, -0.1728715]), reward=-0.1728714976771046)
Transition(state=array([ 0.0887132, -0.1728715]), action=3, next_state=array([0.2061279 , 0.09549248]), reward=-0.20612790303052736)
Transition(state=array([0.2061279 , 0.09549248]), action=2, next_state=array([-0.06379478,  0.24804745]), reward=-0.24804744709447002)
Transition(state=array([-0.06379478,  0.24804745]), action=4, next_state=array([0.0242104 , 0.15703355]), reward=-0.15703354501046465)
Transition(state=array([0.0242104 , 0.15703355]), action=4, next_state=array([-0.05667183,  0.2496032 ]), reward=-0.24960319848027865)
Transition(state=array([-0.05667183,  0.2496032 ]), action=4, next_state=array([-0.02932099,  0.28614929]), reward=-0.2861492894740616)
Transition(state=array([-0.02932099,  0.28614929]), action=4, next_state=array([0.1458045 , 0.38041047]), reward=-0.38041046890620434)
Transition(state=array([0.1458045 , 0.38041047]), action=4, next_state=array([0.1294811 , 0.33429803]), reward=-0.3342980286894839)
Transition(state=array([0.1294811 , 0.33429803]), action=4, next_state=array([0.01067282, 0.37187978]), reward=-0.3718797819586743)
Transition(state=array([0.01067282, 0.37187978]), action=4, next_state=array([-0.01377438,  0.2070973 ]), reward=-0.20709730139932112)
Transition(state=array([-0.01377438,  0.2070973 ]), action=4, next_state=array([ 0.17939156, -0.02756991]), reward=-0.17939155503558848)
Transition(state=array([ 0.17939156, -0.02756991]), action=2, next_state=array([-0.03247474, -0.20281588]), reward=-0.2028158815445146)
Transition(state=array([-0.03247474, -0.20281588]), action=1, next_state=array([ 0.07872032, -0.1481369 ]), reward=-0.1481368963521188)
Transition(state=array([ 0.07872032, -0.1481369 ]), action=3, next_state=array([-0.10445309, -0.08787634]), reward=-0.10445309004579362)
Transition(state=array([-0.10445309, -0.08787634]), action=1, next_state=array([-0.20264698, -0.06368824]), reward=-0.2026469766159615)
Transition(state=array([-0.20264698, -0.06368824]), action=1, next_state=array([-0.10000591, -0.21263699]), reward=-0.21263699093383476)
Transition(state=array([-0.10000591, -0.21263699]), action=1, next_state=array([-0.13934985, -0.3550863 ]), reward=-0.3550862976081822)
Transition(state=array([-0.13934985, -0.3550863 ]), action=3, next_state=array([-0.13989785, -0.40727439]), reward=-0.4072743889397815)
Transition(state=array([-0.13989785, -0.40727439]), action=3, next_state=array([-0.05117486, -0.35942654]), reward=-0.3594265356279399)
Transition(state=array([-0.05117486, -0.35942654]), action=3, next_state=array([-0.16798022, -0.29804737]), reward=-0.2980473692302047)
Transition(state=array([-0.16798022, -0.29804737]), action=1, next_state=array([-0.26385658, -0.09947308]), reward=-0.2638565804373063)
Transition(state=array([-0.26385658, -0.09947308]), action=1, next_state=array([-0.32131239, -0.28160032]), reward=-0.32131239020094404)
Transition(state=array([-0.32131239, -0.28160032]), action=1, next_state=array([-0.22299796, -0.40298548]), reward=-0.4029854842323023)
Transition(state=array([-0.22299796, -0.40298548]), action=3, next_state=array([-0.3268359 , -0.33721478]), reward=-0.33721477940027766)
Transition(state=array([-0.3268359 , -0.33721478]), action=1, next_state=array([-0.13731744, -0.36421892]), reward=-0.36421892458988614)
Transition(state=array([-0.13731744, -0.36421892]), action=3, next_state=array([-0.33352175, -0.15151946]), reward=-0.33352175133342027)
Transition(state=array([-0.33352175, -0.15151946]), action=1, next_state=array([-0.27025558, -0.09023552]), reward=-0.2702555833822936)
Transition(state=array([-0.27025558, -0.09023552]), action=1, next_state=array([-0.36253389, -0.17625946]), reward=-0.3625338900700483)
Transition(state=array([-0.36253389, -0.17625946]), action=1, next_state=array([-0.38791369, -0.20560785]), reward=-0.3879136855885328)
Transition(state=array([-0.38791369, -0.20560785]), action=1, next_state=array([-0.34762047, -0.22864723]), reward=-0.34762046945481906)
Transition(state=array([-0.34762047, -0.22864723]), action=1, next_state=array([-0.28710607, -0.0750023 ]), reward=-0.28710606983858855)
Transition(state=array([-0.28710607, -0.0750023 ]), action=1, next_state=array([-0.05710401, -0.21069713]), reward=-0.21069712955332)
Transition(state=array([-0.05710401, -0.21069713]), action=1, next_state=array([-0.13827705, -0.38052872]), reward=-0.3805287247245286)
Transition(state=array([-0.13827705, -0.38052872]), action=3, next_state=array([-0.23659014, -0.08929204]), reward=-0.23659014088133767)
Transition(state=array([-0.23659014, -0.08929204]), action=1, next_state=array([-0.04192335, -0.11954287]), reward=-0.11954287286737351)
Transition(state=array([-0.04192335, -0.11954287]), action=1, next_state=array([0.20711838, 0.05378379]), reward=-0.20711838306335428)
Transition(state=array([0.20711838, 0.05378379]), action=2, next_state=array([ 0.20586439, -0.04404133]), reward=-0.20586438891141925)
Transition(state=array([ 0.20586439, -0.04404133]), action=2, next_state=array([-0.08792907,  0.14469404]), reward=-0.14469404371785866)
Transition(state=array([-0.08792907,  0.14469404]), action=1, next_state=array([-0.09738346,  0.05547736]), reward=-0.09738345560389447)
Transition(state=array([-0.09738346,  0.05547736]), action=1, next_state=array([0.07641636, 0.02674243]), reward=-0.07641636053473265)
Transition(state=array([0.07641636, 0.02674243]), action=0, next_state=array([0.14864665, 0.21271578]), reward=-0.2127157833670945)
Transition(state=array([0.14864665, 0.21271578]), action=4, next_state=array([0.25894113, 0.13588922]), reward=-0.25894112695716176)
Transition(state=array([0.25894113, 0.13588922]), action=2, next_state=array([0.15110596, 0.15629158]), reward=-0.1562915769165837)
Transition(state=array([0.15110596, 0.15629158]), action=4, next_state=array([ 0.20330778, -0.04208031]), reward=-0.2033077817361601)
Transition(state=array([ 0.20330778, -0.04208031]), action=2, next_state=array([0.01250073, 0.01337917]), reward=-0.013379172804458321)
Transition(state=array([0.01250073, 0.01337917]), action=1, next_state=array([-0.05041519, -0.01999314]), reward=-0.05041518564102185)
Transition(state=array([-0.05041519, -0.01999314]), action=1, next_state=array([ 0.13653706, -0.10754853]), reward=-0.13653705581675735)
Transition(state=array([ 0.13653706, -0.10754853]), action=3, next_state=array([0.20826907, 0.07117416]), reward=-0.2082690652899088)
Transition(state=array([0.20826907, 0.07117416]), action=2, next_state=array([ 0.17885392, -0.05243242]), reward=-0.1788539192250673)
Transition(state=array([ 0.17885392, -0.05243242]), action=2, next_state=array([-0.05596291,  0.03318405]), reward=-0.055962905337478164)
Transition(state=array([-0.05596291,  0.03318405]), action=1, next_state=array([0.07649464, 0.01259351]), reward=-0.07649463857518302)
Transition(state=array([0.07649464, 0.01259351]), action=0, next_state=array([0.10918007, 0.17572371]), reward=-0.1757237057163207)
Transition(state=array([0.10918007, 0.17572371]), action=4, next_state=array([0.14925343, 0.07104891]), reward=-0.14925343218207382)
Transition(state=array([0.14925343, 0.07104891]), action=2, next_state=array([0.03556307, 0.1996134 ]), reward=-0.19961340306746125)
Transition(state=array([0.03556307, 0.1996134 ]), action=4, next_state=array([0.02691416, 0.07812484]), reward=-0.07812484304294942)
Transition(state=array([0.02691416, 0.07812484]), action=0, next_state=array([ 0.20834213, -0.04325052]), reward=-0.20834212566309873)
Transition(state=array([ 0.20834213, -0.04325052]), action=2, next_state=array([ 0.22822046, -0.16323878]), reward=-0.22822045918011694)
Transition(state=array([ 0.22822046, -0.16323878]), action=2, next_state=array([ 0.17152181, -0.10397933]), reward=-0.17152181308439737)
Transition(state=array([ 0.17152181, -0.10397933]), action=2, next_state=array([ 0.25643904, -0.27834801]), reward=-0.2783480075235464)
Transition(state=array([ 0.25643904, -0.27834801]), action=3, next_state=array([ 0.15238402, -0.04829244]), reward=-0.15238401647152244)
Transition(state=array([ 0.15238402, -0.04829244]), action=2, next_state=array([-0.0969028 , -0.10131978]), reward=-0.10131977808041695)
Transition(state=array([-0.0969028 , -0.10131978]), action=1, next_state=array([-0.07712363, -0.28299342]), reward=-0.2829934198732219)
Transition(state=array([-0.07712363, -0.28299342]), action=3, next_state=array([-0.0160915 , -0.11488779]), reward=-0.11488779104844565)
Transition(state=array([-0.0160915 , -0.11488779]), action=1, next_state=array([ 0.22246767, -0.10324011]), reward=-0.22246766731934242)
Transition(state=array([ 0.22246767, -0.10324011]), action=2, next_state=array([ 0.10936923, -0.14690322]), reward=-0.14690321815792734)
Transition(state=array([ 0.10936923, -0.14690322]), action=3, next_state=array([-0.03732953, -0.14968599]), reward=-0.14968599383055933)
Transition(state=array([-0.03732953, -0.14968599]), action=1, next_state=array([ 0.18439168, -0.07614482]), reward=-0.18439167543042478)
Transition(state=array([ 0.18439168, -0.07614482]), action=2, next_state=array([ 0.21725187, -0.06891052]), reward=-0.2172518680893106)
Transition(state=array([ 0.21725187, -0.06891052]), action=2, next_state=array([0.01006154, 0.12916933]), reward=-0.12916933198347516)
Transition(state=array([0.01006154, 0.12916933]), action=4, next_state=array([0.20483229, 0.07703108]), reward=-0.204832290346512)
Transition(state=array([0.20483229, 0.07703108]), action=2, next_state=array([0.29469272, 0.0796956 ]), reward=-0.2946927188735309)
Transition(state=array([0.29469272, 0.0796956 ]), action=2, next_state=array([0.16621245, 0.2167965 ]), reward=-0.21679649868687567)
Transition(state=array([0.16621245, 0.2167965 ]), action=4, next_state=array([0.16329986, 0.13754179]), reward=-0.1632998632495224)
Transition(state=array([0.16329986, 0.13754179]), action=2, next_state=array([-0.08819434,  0.04239005]), reward=-0.08819433643487598)
Transition(state=array([0.33379299, 0.36200428]), action=4, next_state=array([0.37344914, 0.21133644]), reward=-0.37344914347672786)
Transition(state=array([0.37344914, 0.21133644]), action=2, next_state=array([0.35446014, 0.09089235]), reward=-0.354460138813397)
Transition(state=array([0.35446014, 0.09089235]), action=2, next_state=array([0.42852991, 0.01040843]), reward=-0.42852990617914755)
Transition(state=array([0.42852991, 0.01040843]), action=2, next_state=array([ 0.30303478, -0.05751568]), reward=-0.3030347840097797)
Transition(state=array([ 0.30303478, -0.05751568]), action=2, next_state=array([ 0.27329816, -0.22268859]), reward=-0.27329816218701664)
Transition(state=array([ 0.27329816, -0.22268859]), action=2, next_state=array([ 0.14165831, -0.3110017 ]), reward=-0.3110016996814956)
Transition(state=array([ 0.14165831, -0.3110017 ]), action=3, next_state=array([ 0.01820002, -0.33226816]), reward=-0.3322681567115785)
Transition(state=array([ 0.01820002, -0.33226816]), action=3, next_state=array([ 0.1080648 , -0.06386593]), reward=-0.10806479629638763)
Transition(state=array([ 0.1080648 , -0.06386593]), action=0, next_state=array([ 0.04485389, -0.06013102]), reward=-0.06013102477034371)
Transition(state=array([ 0.04485389, -0.06013102]), action=1, next_state=array([0.31845702, 0.10936296]), reward=-0.31845701945636395)
Transition(state=array([0.31845702, 0.10936296]), action=2, next_state=array([0.33562877, 0.02957072]), reward=-0.33562876517503837)
Transition(state=array([0.33562877, 0.02957072]), action=2, next_state=array([0.2987818 , 0.04058167]), reward=-0.29878180157622225)
Transition(state=array([0.2987818 , 0.04058167]), action=2, next_state=array([0.14000939, 0.02244246]), reward=-0.14000939358147982)
Transition(state=array([0.14000939, 0.02244246]), action=2, next_state=array([0.21735029, 0.11120081]), reward=-0.21735029033175832)
Transition(state=array([0.21735029, 0.11120081]), action=2, next_state=array([ 0.2106424 , -0.04519934]), reward=-0.21064240129088388)
Transition(state=array([ 0.2106424 , -0.04519934]), action=2, next_state=array([0.20898703, 0.06459669]), reward=-0.2089870271539276)
Transition(state=array([0.20898703, 0.06459669]), action=2, next_state=array([ 0.04164123, -0.09642761]), reward=-0.09642760537158887)
Transition(state=array([ 0.04164123, -0.09642761]), action=1, next_state=array([-0.04641335, -0.02839653]), reward=-0.04641335189526369)
Transition(state=array([-0.04641335, -0.02839653]), action=1, next_state=array([ 0.0448297 , -0.08821639]), reward=-0.0882163890367036)
Transition(state=array([ 0.0448297 , -0.08821639]), action=1, next_state=array([ 0.30247122, -0.01750933]), reward=-0.30247122056752207)
Transition(state=array([ 0.30247122, -0.01750933]), action=2, next_state=array([ 0.16969103, -0.20113517]), reward=-0.20113516593677294)
