Transition(state=array([ 0.34884428]), action=2, next_state=array([ 0.20823562]), reward=-0.20823562097070777)
Transition(state=array([ 0.27992108]), action=0, next_state=array([ 0.38263757]), reward=-0.38263756616521766)
Transition(state=array([ 0.38263757]), action=0, next_state=array([ 0.51596344]), reward=-0.5159634382057704)
Transition(state=array([ 0.51596344]), action=0, next_state=array([ 0.40476019]), reward=-0.40476018809039793)
Transition(state=array([ 0.40476019]), action=0, next_state=array([ 0.48271954]), reward=-0.48271953822878133)
Transition(state=array([ 0.48271954]), action=0, next_state=array([ 0.35883456]), reward=-0.35883455635668227)
Transition(state=array([ 0.35883456]), action=2, next_state=array([ 0.39314409]), reward=-0.39314408773956266)
Transition(state=array([ 0.39314409]), action=0, next_state=array([ 0.25961779]), reward=-0.25961779034441745)
Transition(state=array([ 0.25961779]), action=2, next_state=array([ 0.25146289]), reward=-0.2514628875582824)
Transition(state=array([ 0.25146289]), action=1, next_state=array([ 0.34133883]), reward=-0.3413388256163131)
Transition(state=array([ 0.34133883]), action=1, next_state=array([ 0.27180743]), reward=-0.27180742722452567)
Transition(state=array([ 0.27180743]), action=2, next_state=array([ 0.29422373]), reward=-0.2942237282376574)
Transition(state=array([ 0.29422373]), action=2, next_state=array([ 0.08779016]), reward=-0.08779015591081776)
Transition(state=array([ 0.08779016]), action=2, next_state=array([-0.08963025]), reward=-0.08963024518160952)
Transition(state=array([-0.08963025]), action=1, next_state=array([ 0.12820499]), reward=-0.12820499076597525)
Transition(state=array([ 0.12820499]), action=1, next_state=array([ 0.29275339]), reward=-0.2927533925272632)
Transition(state=array([ 0.29275339]), action=1, next_state=array([ 0.52785208]), reward=-0.5278520779852203)
Transition(state=array([ 0.52785208]), action=1, next_state=array([ 0.64403443]), reward=-0.6440344267255368)
Transition(state=array([ 0.64403443]), action=0, next_state=array([ 0.69891844]), reward=-0.6989184365608887)
Transition(state=array([ 0.69891844]), action=1, next_state=array([ 0.65950918]), reward=-0.6595091838362064)
Transition(state=array([ 0.65950918]), action=0, next_state=array([ 0.61471476]), reward=-0.6147147647334553)
Transition(state=array([ 0.61471476]), action=2, next_state=array([ 0.63803473]), reward=-0.6380347259822454)
Transition(state=array([ 0.63803473]), action=0, next_state=array([ 0.60954618]), reward=-0.6095461803981086)
Transition(state=array([ 0.60954618]), action=2, next_state=array([ 0.33164476]), reward=-0.3316447614770077)
Transition(state=array([ 0.33164476]), action=2, next_state=array([ 0.37388686]), reward=-0.3738868566838126)
Transition(state=array([ 0.37388686]), action=2, next_state=array([ 0.19683376]), reward=-0.19683376403590172)
Transition(state=array([ 0.19683376]), action=1, next_state=array([ 0.1144155]), reward=-0.11441549989335689)
Transition(state=array([ 0.1144155]), action=2, next_state=array([ 0.08862713]), reward=-0.08862713023019)
Transition(state=array([ 0.08862713]), action=2, next_state=array([ 0.06369765]), reward=-0.06369764863945815)
Transition(state=array([ 0.06369765]), action=0, next_state=array([-0.12927321]), reward=-0.12927320528563702)
Transition(state=array([-0.12927321]), action=2, next_state=array([-0.35600035]), reward=-0.3560003489289858)
Transition(state=array([-0.35600035]), action=0, next_state=array([-0.50922945]), reward=-0.5092294516102145)
Transition(state=array([-0.50922945]), action=0, next_state=array([-0.51801464]), reward=-0.5180146411406428)
Transition(state=array([-0.51801464]), action=2, next_state=array([-0.71940922]), reward=-0.7194092192283026)
Transition(state=array([-0.71940922]), action=0, next_state=array([-0.52192755]), reward=-0.5219275508861589)
Transition(state=array([-0.52192755]), action=1, next_state=array([-0.2290829]), reward=-0.2290828955887794)
Transition(state=array([-0.2290829]), action=2, next_state=array([-0.23328719]), reward=-0.23328719317518545)
Transition(state=array([-0.23328719]), action=2, next_state=array([-0.20302969]), reward=-0.20302968718875392)
Transition(state=array([-0.20302969]), action=2, next_state=array([-0.46088052]), reward=-0.4608805162388525)
Transition(state=array([-0.46088052]), action=2, next_state=array([-0.40383303]), reward=-0.4038330306105453)
Transition(state=array([-0.40383303]), action=0, next_state=array([-0.47715392]), reward=-0.47715392382833144)
Transition(state=array([-0.47715392]), action=0, next_state=array([-0.61090436]), reward=-0.6109043608049253)
Transition(state=array([-0.61090436]), action=0, next_state=array([-0.63972816]), reward=-0.6397281643365867)
Transition(state=array([-0.63972816]), action=2, next_state=array([-0.80273017]), reward=-0.8027301658046053)
Transition(state=array([-0.80273017]), action=0, next_state=array([-0.62908437]), reward=-0.6290843713003382)
Transition(state=array([-0.62908437]), action=2, next_state=array([-0.53331155]), reward=-0.5333115518043959)
Transition(state=array([-0.53331155]), action=0, next_state=array([-0.71796099]), reward=-0.7179609904953022)
Transition(state=array([-0.71796099]), action=0, next_state=array([-0.68641686]), reward=-0.6864168580248206)
Transition(state=array([-0.68641686]), action=0, next_state=array([-0.5608084]), reward=-0.560808402904712)
Transition(state=array([-0.5608084]), action=1, next_state=array([-0.46458287]), reward=-0.4645828673230684)
Transition(state=array([-0.46458287]), action=0, next_state=array([-0.49449235]), reward=-0.4944923501886113)
Transition(state=array([-0.49449235]), action=1, next_state=array([-0.39557179]), reward=-0.3955717928595933)
Transition(state=array([-0.39557179]), action=2, next_state=array([-0.66648316]), reward=-0.6664831570619009)
Transition(state=array([-0.66648316]), action=1, next_state=array([-0.51690282]), reward=-0.5169028237956108)
Transition(state=array([-0.51690282]), action=2, next_state=array([-0.62238351]), reward=-0.6223835095178887)
Transition(state=array([-0.62238351]), action=1, next_state=array([-0.36405183]), reward=-0.3640518325826292)
Transition(state=array([-0.36405183]), action=0, next_state=array([-0.49254794]), reward=-0.49254793918218553)
Transition(state=array([-0.49254794]), action=1, next_state=array([-0.29054773]), reward=-0.29054773241886955)
Transition(state=array([-0.29054773]), action=0, next_state=array([-0.30407851]), reward=-0.30407850884760823)
Transition(state=array([-0.30407851]), action=1, next_state=array([-0.18770733]), reward=-0.18770733493270256)
Transition(state=array([-0.18770733]), action=0, next_state=array([-0.14698911]), reward=-0.14698910996981193)
Transition(state=array([-0.14698911]), action=2, next_state=array([-0.05062408]), reward=-0.0506240756171589)
Transition(state=array([-0.05062408]), action=1, next_state=array([ 0.04864869]), reward=-0.04864869137202317)
Transition(state=array([ 0.04864869]), action=2, next_state=array([ 0.13200201]), reward=-0.13200201326267655)
Transition(state=array([ 0.13200201]), action=2, next_state=array([ 0.100169]), reward=-0.10016899895984435)
Transition(state=array([ 0.100169]), action=0, next_state=array([ 0.14929686]), reward=-0.14929686370265186)
Transition(state=array([ 0.14929686]), action=0, next_state=array([ 0.08825868]), reward=-0.08825867727244688)
Transition(state=array([ 0.08825868]), action=2, next_state=array([ 0.13115594]), reward=-0.1311559392054639)
Transition(state=array([ 0.13115594]), action=0, next_state=array([ 0.24025025]), reward=-0.24025025104051045)
Transition(state=array([ 0.24025025]), action=2, next_state=array([ 0.27860516]), reward=-0.278605162737637)
Transition(state=array([ 0.27860516]), action=2, next_state=array([ 0.229343]), reward=-0.22934299813199685)
Transition(state=array([ 0.229343]), action=0, next_state=array([ 0.19553787]), reward=-0.19553786981842167)
Transition(state=array([ 0.19553787]), action=0, next_state=array([ 0.20039788]), reward=-0.20039787575653614)
Transition(state=array([ 0.20039788]), action=0, next_state=array([ 0.10545917]), reward=-0.10545917440369615)
Transition(state=array([ 0.10545917]), action=1, next_state=array([ 0.26604155]), reward=-0.266041548583153)
Transition(state=array([ 0.26604155]), action=0, next_state=array([ 0.18606359]), reward=-0.18606359321167643)
Transition(state=array([ 0.18606359]), action=0, next_state=array([-0.00798873]), reward=-0.007988728664083178)
Transition(state=array([-0.00798873]), action=0, next_state=array([ 0.1203863]), reward=-0.12038629821925309)
Transition(state=array([ 0.1203863]), action=2, next_state=array([ 0.15252021]), reward=-0.15252020729631308)
Transition(state=array([ 0.15252021]), action=2, next_state=array([-0.02247851]), reward=-0.022478510845193353)
Transition(state=array([-0.02247851]), action=2, next_state=array([-0.08463322]), reward=-0.08463321825366507)
Transition(state=array([-0.08463322]), action=0, next_state=array([-0.10799376]), reward=-0.10799375772004602)
Transition(state=array([-0.10799376]), action=1, next_state=array([-0.00437468]), reward=-0.0043746788413909915)
Transition(state=array([-0.00437468]), action=1, next_state=array([ 0.11229544]), reward=-0.11229544331922149)
Transition(state=array([ 0.11229544]), action=2, next_state=array([-0.02843346]), reward=-0.028433460702364743)
Transition(state=array([-0.02843346]), action=1, next_state=array([-0.07472004]), reward=-0.07472004426141743)
Transition(state=array([-0.07472004]), action=0, next_state=array([ 0.06123492]), reward=-0.06123492014667831)
Transition(state=array([ 0.06123492]), action=2, next_state=array([ 0.05980998]), reward=-0.05980998042661115)
Transition(state=array([ 0.05980998]), action=1, next_state=array([ 0.12137836]), reward=-0.12137836208160291)
Transition(state=array([ 0.12137836]), action=0, next_state=array([ 0.09305512]), reward=-0.09305512193392378)
Transition(state=array([ 0.09305512]), action=1, next_state=array([ 0.2182648]), reward=-0.2182648013484667)
Transition(state=array([ 0.2182648]), action=1, next_state=array([ 0.34509513]), reward=-0.34509513353946875)
Transition(state=array([ 0.34509513]), action=1, next_state=array([ 0.52894388]), reward=-0.5289438768132787)
Transition(state=array([ 0.52894388]), action=0, next_state=array([ 0.44170748]), reward=-0.441707481183363)
Transition(state=array([ 0.44170748]), action=0, next_state=array([ 0.42365675]), reward=-0.4236567537055984)
Transition(state=array([ 0.42365675]), action=2, next_state=array([ 0.38121489]), reward=-0.38121488591045716)
Transition(state=array([ 0.38121489]), action=1, next_state=array([ 0.5953756]), reward=-0.5953756027252144)
Transition(state=array([ 0.5953756]), action=1, next_state=array([ 0.71291383]), reward=-0.7129138254654345)
Transition(state=array([ 0.71291383]), action=0, next_state=array([ 0.57154076]), reward=-0.571540760009766)
Transition(state=array([ 0.57154076]), action=0, next_state=array([ 0.62909631]), reward=-0.62909631446633)
Transition(state=array([ 0.62909631]), action=2, next_state=array([ 0.55681515]), reward=-0.556815152130444)
Transition(state=array([ 0.55681515]), action=1, next_state=array([ 0.49485367]), reward=-0.4948536673171162)
Transition(state=array([ 0.49485367]), action=1, next_state=array([ 0.78770202]), reward=-0.7877020228706235)
Transition(state=array([ 0.78770202]), action=1, next_state=array([ 1.06470661]), reward=-79.85299610027144)
Transition(state=array([ 0.16890723]), action=1, next_state=array([ 0.38701548]), reward=-0.3870154765827958)
Transition(state=array([ 0.38701548]), action=0, next_state=array([ 0.58498175]), reward=-0.584981748651856)
Transition(state=array([ 0.58498175]), action=0, next_state=array([ 0.60243216]), reward=-0.6024321598954994)
Transition(state=array([ 0.60243216]), action=1, next_state=array([ 0.59329791]), reward=-0.5932979134800788)
Transition(state=array([ 0.59329791]), action=1, next_state=array([ 0.58338768]), reward=-0.5833876807988261)
Transition(state=array([ 0.58338768]), action=0, next_state=array([ 0.46613916]), reward=-0.4661391642234697)
Transition(state=array([ 0.46613916]), action=2, next_state=array([ 0.36359339]), reward=-0.3635933911907243)
Transition(state=array([ 0.36359339]), action=1, next_state=array([ 0.61200844]), reward=-0.6120084398934024)
Transition(state=array([ 0.61200844]), action=2, next_state=array([ 0.67167612]), reward=-0.6716761211084445)
Transition(state=array([ 0.67167612]), action=1, next_state=array([ 0.81941706]), reward=-0.8194170589328723)
Transition(state=array([ 0.81941706]), action=0, next_state=array([ 0.94111223]), reward=-0.9411122255257749)
Transition(state=array([ 0.94111223]), action=1, next_state=array([ 0.92913275]), reward=-0.9291327509918342)
Transition(state=array([ 0.92913275]), action=1, next_state=array([ 1.05145717]), reward=-196.6224907061313)
Transition(state=array([ 0.12714527]), action=2, next_state=array([ 0.22467247]), reward=-0.2246724738792549)
Transition(state=array([ 0.22467247]), action=2, next_state=array([ 0.13165825]), reward=-0.131658246200821)
Transition(state=array([ 0.13165825]), action=1, next_state=array([ 0.20632348]), reward=-0.2063234837058187)
Transition(state=array([ 0.20632348]), action=1, next_state=array([ 0.32802482]), reward=-0.32802482172128217)
Transition(state=array([ 0.32802482]), action=2, next_state=array([ 0.22273701]), reward=-0.22273701350237887)
Transition(state=array([ 0.22273701]), action=2, next_state=array([ 0.19811683]), reward=-0.1981168273683195)
Transition(state=array([ 0.19811683]), action=0, next_state=array([ 0.2422921]), reward=-0.24229210201310514)
Transition(state=array([ 0.2422921]), action=2, next_state=array([ 0.21139448]), reward=-0.21139448064395436)
Transition(state=array([ 0.21139448]), action=2, next_state=array([ 0.10345134]), reward=-0.1034513420846736)
Transition(state=array([ 0.10345134]), action=2, next_state=array([-0.06567563]), reward=-0.06567562777244597)
Transition(state=array([-0.06567563]), action=2, next_state=array([-0.1348592]), reward=-0.13485920356577608)
Transition(state=array([-0.1348592]), action=1, next_state=array([ 0.08418864]), reward=-0.0841886351306684)
Transition(state=array([ 0.08418864]), action=2, next_state=array([-0.10478223]), reward=-0.10478223074704918)
Transition(state=array([-0.10478223]), action=1, next_state=array([-0.13957877]), reward=-0.13957877119707454)
Transition(state=array([-0.13957877]), action=1, next_state=array([-0.10033982]), reward=-0.10033982107191242)
Transition(state=array([-0.10033982]), action=1, next_state=array([-0.02750269]), reward=-0.027502686309687607)
Transition(state=array([-0.02750269]), action=1, next_state=array([ 0.11293436]), reward=-0.11293436133201445)
Transition(state=array([ 0.11293436]), action=1, next_state=array([ 0.29958461]), reward=-0.2995846079225227)
Transition(state=array([ 0.29958461]), action=0, next_state=array([ 0.30450019]), reward=-0.30450019402635037)
Transition(state=array([ 0.30450019]), action=2, next_state=array([ 0.26755241]), reward=-0.26755240666974056)
Transition(state=array([ 0.26755241]), action=1, next_state=array([ 0.45509758]), reward=-0.45509758226103303)
Transition(state=array([ 0.45509758]), action=0, next_state=array([ 0.49452437]), reward=-0.4945243674130402)
Transition(state=array([ 0.49452437]), action=2, next_state=array([ 0.52355414]), reward=-0.523554135007142)
Transition(state=array([ 0.52355414]), action=2, next_state=array([ 0.49594336]), reward=-0.49594336059825295)
Transition(state=array([ 0.49594336]), action=0, next_state=array([ 0.43595163]), reward=-0.43595162825342704)
Transition(state=array([ 0.43595163]), action=0, next_state=array([ 0.35253088]), reward=-0.35253088374574104)
Transition(state=array([ 0.35253088]), action=2, next_state=array([ 0.23159457]), reward=-0.2315945724456536)
Transition(state=array([ 0.23159457]), action=2, next_state=array([ 0.14460701]), reward=-0.14460700514331007)
Transition(state=array([ 0.14460701]), action=0, next_state=array([ 0.20680609]), reward=-0.20680608634967626)
Transition(state=array([ 0.20680609]), action=1, next_state=array([ 0.49273256]), reward=-0.49273256450488057)
Transition(state=array([ 0.49273256]), action=2, next_state=array([ 0.47500795]), reward=-0.47500794676106917)
Transition(state=array([ 0.47500795]), action=1, next_state=array([ 0.7545451]), reward=-0.7545450964616015)
Transition(state=array([ 0.7545451]), action=0, next_state=array([ 0.56775013]), reward=-0.5677501288746524)
Transition(state=array([ 0.56775013]), action=0, next_state=array([ 0.37737019]), reward=-0.37737019486596823)
Transition(state=array([ 0.37737019]), action=2, next_state=array([ 0.17706808]), reward=-0.17706807601960925)
Transition(state=array([ 0.17706808]), action=0, next_state=array([ 0.2810426]), reward=-0.28104259848584234)
Transition(state=array([ 0.2810426]), action=1, next_state=array([ 0.25823784]), reward=-0.25823783795509736)
Transition(state=array([ 0.25823784]), action=0, next_state=array([ 0.18077241]), reward=-0.18077240676389927)
Transition(state=array([ 0.18077241]), action=1, next_state=array([ 0.15932263]), reward=-0.15932262673561776)
Transition(state=array([ 0.15932263]), action=2, next_state=array([ 0.010475]), reward=-0.010474996365094497)
Transition(state=array([ 0.010475]), action=1, next_state=array([ 0.19249051]), reward=-0.19249051442181064)
Transition(state=array([ 0.19249051]), action=0, next_state=array([ 0.33333121]), reward=-0.3333312057674844)
Transition(state=array([ 0.33333121]), action=0, next_state=array([ 0.48434419]), reward=-0.48434419095393133)
Transition(state=array([ 0.48434419]), action=2, next_state=array([ 0.32189458]), reward=-0.32189457789186526)
Transition(state=array([ 0.32189458]), action=1, next_state=array([ 0.59035332]), reward=-0.5903533181030588)
Transition(state=array([ 0.59035332]), action=0, next_state=array([ 0.42224488]), reward=-0.42224487888665735)
Transition(state=array([ 0.42224488]), action=0, next_state=array([ 0.43529363]), reward=-0.435293630530069)
Transition(state=array([ 0.43529363]), action=1, next_state=array([ 0.71695832]), reward=-0.7169583156727615)
Transition(state=array([ 0.71695832]), action=0, next_state=array([ 0.8976704]), reward=-0.8976703958340122)
Transition(state=array([ 0.8976704]), action=0, next_state=array([ 0.91306361]), reward=-0.9130636059436907)
Transition(state=array([ 0.91306361]), action=1, next_state=array([ 1.10297665]), reward=-164.34352067099627)
Transition(state=array([-0.00436293]), action=0, next_state=array([-0.01246372]), reward=-0.01246372128668019)
Transition(state=array([-0.01246372]), action=2, next_state=array([-0.10655118]), reward=-0.10655117942887996)
Transition(state=array([-0.10655118]), action=1, next_state=array([-0.18736102]), reward=-0.18736102437771504)
Transition(state=array([-0.18736102]), action=2, next_state=array([-0.22632752]), reward=-0.22632752317519406)
Transition(state=array([-0.22632752]), action=1, next_state=array([-0.01992904]), reward=-0.019929036653558135)
Transition(state=array([-0.01992904]), action=0, next_state=array([-0.07922447]), reward=-0.07922447405972396)
Transition(state=array([-0.07922447]), action=2, next_state=array([-0.05880101]), reward=-0.05880100923378419)
Transition(state=array([-0.05880101]), action=0, next_state=array([-0.08757863]), reward=-0.08757863158541106)
Transition(state=array([-0.08757863]), action=2, next_state=array([-0.34539188]), reward=-0.3453918800607766)
Transition(state=array([-0.34539188]), action=2, next_state=array([-0.26139371]), reward=-0.26139371150766955)
Transition(state=array([-0.26139371]), action=0, next_state=array([-0.07225767]), reward=-0.07225766991370755)
Transition(state=array([-0.07225767]), action=1, next_state=array([ 0.21999216]), reward=-0.21999216105199318)
Transition(state=array([ 0.21999216]), action=2, next_state=array([-0.02162038]), reward=-0.021620379548035418)
Transition(state=array([-0.02162038]), action=0, next_state=array([ 0.1574815]), reward=-0.15748149839376777)
Transition(state=array([ 0.1574815]), action=0, next_state=array([ 0.14910006]), reward=-0.1491000587212399)
Transition(state=array([ 0.14910006]), action=0, next_state=array([-0.01920379]), reward=-0.019203789057166076)
Transition(state=array([-0.01920379]), action=2, next_state=array([ 0.03246867]), reward=-0.032468671045829206)
Transition(state=array([ 0.03246867]), action=2, next_state=array([-0.06509842]), reward=-0.06509842447313452)
Transition(state=array([-0.06509842]), action=1, next_state=array([ 0.21249]), reward=-0.21248999678432218)
Transition(state=array([ 0.21249]), action=0, next_state=array([ 0.26514417]), reward=-0.2651441690890921)
Transition(state=array([ 0.26514417]), action=0, next_state=array([ 0.42833034]), reward=-0.4283303380539435)
Transition(state=array([ 0.42833034]), action=2, next_state=array([ 0.47216345]), reward=-0.4721634455452087)
Transition(state=array([ 0.47216345]), action=1, next_state=array([ 0.44661987]), reward=-0.4466198734244098)
Transition(state=array([ 0.44661987]), action=0, next_state=array([ 0.34117592]), reward=-0.3411759204696664)
Transition(state=array([ 0.34117592]), action=2, next_state=array([ 0.18062912]), reward=-0.18062911974305315)
Transition(state=array([ 0.18062912]), action=2, next_state=array([ 0.24415306]), reward=-0.24415306390726008)
Transition(state=array([ 0.24415306]), action=0, next_state=array([ 0.34413449]), reward=-0.34413448620890574)
Transition(state=array([ 0.34413449]), action=0, next_state=array([ 0.19484745]), reward=-0.19484744572811138)
Transition(state=array([ 0.19484745]), action=1, next_state=array([ 0.38148171]), reward=-0.38148171162407185)
Transition(state=array([ 0.38148171]), action=2, next_state=array([ 0.18495075]), reward=-0.18495075016261678)
Transition(state=array([ 0.18495075]), action=2, next_state=array([ 0.15336503]), reward=-0.15336503244624497)
Transition(state=array([ 0.15336503]), action=1, next_state=array([ 0.28618982]), reward=-0.28618982026621953)
Transition(state=array([ 0.28618982]), action=0, next_state=array([ 0.20344952]), reward=-0.2034495192690173)
Transition(state=array([ 0.20344952]), action=1, next_state=array([ 0.36185528]), reward=-0.3618552758825795)
Transition(state=array([ 0.36185528]), action=0, next_state=array([ 0.43938441]), reward=-0.43938440663052913)
Transition(state=array([ 0.43938441]), action=2, next_state=array([ 0.28347811]), reward=-0.28347811390261846)
Transition(state=array([ 0.28347811]), action=1, next_state=array([ 0.5048563]), reward=-0.5048562974037245)
Transition(state=array([ 0.5048563]), action=1, next_state=array([ 0.6925254]), reward=-0.6925254040062216)
Transition(state=array([ 0.6925254]), action=1, next_state=array([ 0.83344229]), reward=-0.8334422883601369)
Transition(state=array([ 0.83344229]), action=2, next_state=array([ 0.88611898]), reward=-0.8861189833684316)
Transition(state=array([ 0.88611898]), action=2, next_state=array([ 0.71735202]), reward=-0.7173520176824772)
Transition(state=array([ 0.71735202]), action=1, next_state=array([ 0.65393068]), reward=-0.6539306819291932)
Transition(state=array([ 0.65393068]), action=2, next_state=array([ 0.73317565]), reward=-0.7331756503141071)
Transition(state=array([ 0.73317565]), action=1, next_state=array([ 1.0165134]), reward=-158.5760901568477)
Transition(state=array([-0.30223647]), action=1, next_state=array([-0.07683296]), reward=-0.07683295579934224)
Transition(state=array([-0.07683296]), action=2, next_state=array([-0.0049324]), reward=-0.004932404666615237)
Transition(state=array([-0.0049324]), action=1, next_state=array([-0.09061101]), reward=-0.09061100827604446)
Transition(state=array([-0.09061101]), action=1, next_state=array([ 0.15245082]), reward=-0.15245081936157467)
Transition(state=array([ 0.15245082]), action=2, next_state=array([-0.11922102]), reward=-0.11922102391341607)
Transition(state=array([-0.11922102]), action=1, next_state=array([-0.01535425]), reward=-0.01535424869339233)
Transition(state=array([-0.01535425]), action=0, next_state=array([-0.21499409]), reward=-0.2149940903017598)
Transition(state=array([-0.21499409]), action=2, next_state=array([-0.13622532]), reward=-0.1362253215214486)
Transition(state=array([-0.13622532]), action=0, next_state=array([-0.14954203]), reward=-0.1495420292600219)
Transition(state=array([-0.14954203]), action=1, next_state=array([-0.22765204]), reward=-0.22765204067323883)
Transition(state=array([-0.22765204]), action=2, next_state=array([-0.46330044]), reward=-0.46330043898168594)
Transition(state=array([-0.46330044]), action=2, next_state=array([-0.46733801]), reward=-0.467338014036319)
Transition(state=array([-0.46733801]), action=0, next_state=array([-0.49617851]), reward=-0.49617851257809836)
Transition(state=array([-0.49617851]), action=0, next_state=array([-0.40269087]), reward=-0.4026908746381069)
Transition(state=array([-0.40269087]), action=2, next_state=array([-0.63142079]), reward=-0.6314207899259618)
Transition(state=array([-0.63142079]), action=2, next_state=array([-0.86846105]), reward=-0.8684610465312447)
Transition(state=array([-0.86846105]), action=1, next_state=array([-0.92343149]), reward=-0.9234314896179766)
Transition(state=array([-0.92343149]), action=0, next_state=array([-1.0136917]), reward=-184.49188938673967)
Transition(state=array([-0.11908388]), action=0, next_state=array([-0.08103646]), reward=-0.08103646273450879)
Transition(state=array([-0.08103646]), action=0, next_state=array([ 0.02242033]), reward=-0.022420333353537755)
Transition(state=array([ 0.02242033]), action=2, next_state=array([-0.17959037]), reward=-0.17959036989752047)
Transition(state=array([-0.17959037]), action=1, next_state=array([-0.15718901]), reward=-0.15718901240095115)
Transition(state=array([-0.15718901]), action=0, next_state=array([-0.07550389]), reward=-0.07550388659513968)
Transition(state=array([-0.07550389]), action=0, next_state=array([-0.12810657]), reward=-0.12810656954684374)
Transition(state=array([-0.12810657]), action=0, next_state=array([-0.31188827]), reward=-0.31188826510135637)
Transition(state=array([-0.31188827]), action=1, next_state=array([-0.1969486]), reward=-0.19694859798182632)
Transition(state=array([-0.1969486]), action=2, next_state=array([-0.34092272]), reward=-0.34092272313012384)
Transition(state=array([-0.34092272]), action=1, next_state=array([-0.1793907]), reward=-0.1793907018506488)
Transition(state=array([-0.1793907]), action=2, next_state=array([-0.45842631]), reward=-0.4584263149751524)
Transition(state=array([-0.45842631]), action=1, next_state=array([-0.21893756]), reward=-0.2189375557031302)
Transition(state=array([-0.21893756]), action=0, next_state=array([-0.32537805]), reward=-0.32537805374652745)
Transition(state=array([-0.32537805]), action=2, next_state=array([-0.35973348]), reward=-0.3597334824138657)
Transition(state=array([-0.35973348]), action=0, next_state=array([-0.52366178]), reward=-0.5236617823769965)
Transition(state=array([-0.52366178]), action=1, next_state=array([-0.36219498]), reward=-0.36219498243951964)
Transition(state=array([-0.36219498]), action=0, next_state=array([-0.42889724]), reward=-0.42889724242060545)
Transition(state=array([-0.42889724]), action=0, next_state=array([-0.38024404]), reward=-0.3802440374467905)
Transition(state=array([-0.38024404]), action=1, next_state=array([-0.22439695]), reward=-0.2243969515996764)
Transition(state=array([-0.22439695]), action=1, next_state=array([-0.0819275]), reward=-0.0819275040148719)
Transition(state=array([-0.0819275]), action=2, next_state=array([-0.22692223]), reward=-0.2269222322609928)
Transition(state=array([-0.22692223]), action=2, next_state=array([-0.30972242]), reward=-0.3097224223754532)
Transition(state=array([-0.30972242]), action=2, next_state=array([-0.38167815]), reward=-0.3816781511217965)
Transition(state=array([-0.38167815]), action=1, next_state=array([-0.37792428]), reward=-0.37792427796736683)
Transition(state=array([-0.37792428]), action=0, next_state=array([-0.5230343]), reward=-0.523034297396915)
Transition(state=array([-0.5230343]), action=2, next_state=array([-0.58285285]), reward=-0.5828528469414499)
Transition(state=array([-0.58285285]), action=2, next_state=array([-0.88165608]), reward=-0.881656084621056)
Transition(state=array([-0.88165608]), action=1, next_state=array([-0.80889781]), reward=-0.8088978051124927)
Transition(state=array([-0.80889781]), action=1, next_state=array([-0.7687188]), reward=-0.7687188028569706)
Transition(state=array([-0.7687188]), action=1, next_state=array([-0.73143535]), reward=-0.731435352430758)
Transition(state=array([-0.73143535]), action=1, next_state=array([-0.67804178]), reward=-0.678041778781949)
Transition(state=array([-0.67804178]), action=1, next_state=array([-0.71406452]), reward=-0.7140645228579161)
Transition(state=array([-0.71406452]), action=2, next_state=array([-0.92053836]), reward=-0.9205383559107658)
